year,epi_week,county,age_group,ili_percentage,population
2023,1,Nairobi,0-4yrs,6.1,3452
2023,2,Nairobi,0-4yrs,4.5,3043
2023,3,Nairobi,0-4yrs,4.6,6975
2023,4,Nairobi,0-4yrs,6.3,1642
2023,5,Nairobi,0-4yrs,7,9418
2023,1,Mombasa,0-4yrs,6,9283
2023,2,Mombasa,0-4yrs,1.9,2252
2023,3,Mombasa,0-4yrs,3.8,5122
2023,4,Mombasa,0-4yrs,3.6,5984
2023,5,Mombasa,0-4yrs,0.5,3040
2023,1,Kisumu,0-4yrs,3.5,3908
2023,2,Kisumu,0-4yrs,3.7,2233
2023,3,Kisumu,0-4yrs,6.8,1519
2023,4,Kisumu,0-4yrs,3.6,2034
2023,5,Kisumu,0-4yrs,4.7,7171
2023,1,Nakuru,0-4yrs,4.7,7467
2023,2,Nakuru,0-4yrs,5.6,6141
2023,3,Nakuru,0-4yrs,4.8,6305
2023,4,Nakuru,0-4yrs,2.8,7584
2023,5,Nakuru,0-4yrs,0.5,7197
2023,1,Machakos,0-4yrs,4.3,8090
2023,2,Machakos,0-4yrs,5.1,5832
2023,3,Machakos,0-4yrs,1.9,7326
2023,4,Machakos,0-4yrs,2.8,1325
2023,5,Machakos,0-4yrs,3.4,4575
2023,1,Kiambu,0-4yrs,4.5,6085
2023,2,Kiambu,0-4yrs,6.4,1556
2023,3,Kiambu,0-4yrs,4.1,6304
2023,4,Kiambu,0-4yrs,5,2521
2023,5,Kiambu,0-4yrs,0.5,9971
2023,1,Kakamega,0-4yrs,3.4,9238
2023,2,Kakamega,0-4yrs,4.9,3715
2023,3,Kakamega,0-4yrs,2.9,8928
2023,4,Kakamega,0-4yrs,4.5,5360
2023,5,Kakamega,0-4yrs,5.4,8672
2023,1,Nairobi,5-14yrs,2.4,7611
2023,2,Nairobi,5-14yrs,4.9,8786
2023,3,Nairobi,5-14yrs,3.2,3530
2023,4,Nairobi,5-14yrs,5.2,1517
2023,5,Nairobi,5-14yrs,2.7,1684
2023,1,Mombasa,5-14yrs,6.3,5423
2023,2,Mombasa,5-14yrs,4.1,9182
2023,3,Mombasa,5-14yrs,2.2,9403
2023,4,Mombasa,5-14yrs,3.7,9376
2023,5,Mombasa,5-14yrs,5.4,4266
2023,1,Kisumu,5-14yrs,6.1,9555
2023,2,Kisumu,5-14yrs,5,4700
2023,3,Kisumu,5-14yrs,2.3,8254
2023,4,Kisumu,5-14yrs,2.3,5931
2023,5,Kisumu,5-14yrs,4.1,9444
2023,1,Nakuru,5-14yrs,5.8,5347
2023,2,Nakuru,5-14yrs,2.5,9829
2023,3,Nakuru,5-14yrs,3,2352
2023,4,Nakuru,5-14yrs,3.4,6243
2023,5,Nakuru,5-14yrs,4.3,9257
2023,1,Machakos,5-14yrs,4,3989
2023,2,Machakos,5-14yrs,3.3,1088
2023,3,Machakos,5-14yrs,1.5,6899
2023,4,Machakos,5-14yrs,3.2,1221
2023,5,Machakos,5-14yrs,2,8730
2023,1,Kiambu,5-14yrs,1.8,4799
2023,2,Kiambu,5-14yrs,4.2,3207
2023,3,Kiambu,5-14yrs,4,9676
2023,4,Kiambu,5-14yrs,3.1,7943
2023,5,Kiambu,5-14yrs,2.2,1889
2023,1,Kakamega,5-14yrs,4.9,2219
2023,2,Kakamega,5-14yrs,4,9701
2023,3,Kakamega,5-14yrs,6.2,1949
2023,4,Kakamega,5-14yrs,3.8,2565
2023,5,Kakamega,5-14yrs,3.3,8059
2023,1,Nairobi,15-49yrs,3.9,5767
2023,2,Nairobi,15-49yrs,3.3,3221
2023,3,Nairobi,15-49yrs,3.4,8871
2023,4,Nairobi,15-49yrs,3.3,3654
2023,5,Nairobi,15-49yrs,5,4165
2023,1,Mombasa,15-49yrs,3.9,7824
2023,2,Mombasa,15-49yrs,5.8,7433
2023,3,Mombasa,15-49yrs,3.3,735
2023,4,Mombasa,15-49yrs,4,4231
2023,5,Mombasa,15-49yrs,3.2,4890
2023,1,Kisumu,15-49yrs,3.7,9522
2023,2,Kisumu,15-49yrs,4.2,7174
2023,3,Kisumu,15-49yrs,4.9,1886
2023,4,Kisumu,15-49yrs,2.5,3039
2023,5,Kisumu,15-49yrs,4.1,4474
2023,1,Nakuru,15-49yrs,3.7,5015
2023,2,Nakuru,15-49yrs,1.4,4501
2023,3,Nakuru,15-49yrs,5.3,4652
2023,4,Nakuru,15-49yrs,1.8,1755
2023,5,Nakuru,15-49yrs,4.7,8277
2023,1,Machakos,15-49yrs,4.2,847
2023,2,Machakos,15-49yrs,4.6,3411
2023,3,Machakos,15-49yrs,3.6,5684
2023,4,Machakos,15-49yrs,5.1,2418
2023,5,Machakos,15-49yrs,2.7,8424
2023,1,Kiambu,15-49yrs,4.3,9694
2023,2,Kiambu,15-49yrs,4.4,6801
2023,3,Kiambu,15-49yrs,2.6,1256
2023,4,Kiambu,15-49yrs,4.6,6614
2023,5,Kiambu,15-49yrs,6.7,8213
2023,1,Kakamega,15-49yrs,1,5579
2023,2,Kakamega,15-49yrs,5.8,1029
2023,3,Kakamega,15-49yrs,1.9,9252
2023,4,Kakamega,15-49yrs,2.9,8721
2023,5,Kakamega,15-49yrs,3,7590
2023,1,Nairobi,>50yrs,2.2,8140
2023,2,Nairobi,>50yrs,4.2,6543
2023,3,Nairobi,>50yrs,4.7,5972
2023,4,Nairobi,>50yrs,3.8,1409
2023,5,Nairobi,>50yrs,3.7,6735
2023,1,Mombasa,>50yrs,4.6,9355
2023,2,Mombasa,>50yrs,3.2,4233
2023,3,Mombasa,>50yrs,4.6,6910
2023,4,Mombasa,>50yrs,4.8,9566
2023,5,Mombasa,>50yrs,3,8596
